Timestamp,fsmstate,global_armed,a_armed,a_firing,b_armed,b_firing,c_armed,c_firing,d_armed,d_firing
5137,0,0,1,0,0,0,0,0,0,0
5137,0,0,1,0,0,0,1,0,0,0
5137,0,0,1,0,0,0,0,0,0,0
5137,0,0,1,0,0,0,1,0,0,0
5138,0,0,1,0,0,0,0,0,0,0
5139,0,0,1,0,0,0,1,0,0,0
5139,0,0,1,0,0,0,0,0,0,0
5139,0,0,1,0,0,0,1,0,0,0
5141,0,0,1,0,0,0,0,0,0,0
5141,0,0,1,0,0,0,1,0,0,0
5141,0,0,1,0,0,0,0,0,0,0
5142,0,0,1,0,0,0,1,0,0,0
5142,0,0,1,0,0,0,0,0,0,0
5143,0,0,1,0,0,0,1,0,0,0
5143,0,0,1,0,0,0,0,0,0,0
5143,0,0,1,0,0,0,1,0,0,0
5145,0,0,1,0,0,0,0,0,0,0
5145,0,0,1,0,0,0,1,0,0,0
5145,0,0,1,0,0,0,0,0,0,0
5146,0,0,1,0,0,0,1,0,0,0
5147,0,0,1,0,0,0,0,0,0,0
5147,0,0,1,0,0,0,1,0,0,0
5147,0,0,1,0,0,0,0,0,0,0
5147,0,0,1,0,0,0,1,0,0,0
5149,0,0,1,0,0,0,0,0,0,0
5149,0,0,1,0,0,0,1,0,0,0
5149,0,0,1,0,0,0,0,0,0,0
5151,0,0,1,0,0,0,1,0,0,0
5151,0,0,1,0,0,0,0,0,0,0
5151,0,0,1,0,0,0,1,0,0,0
5153,0,0,1,0,0,0,0,0,0,0
5153,0,0,1,0,0,0,1,0,0,0
5153,0,0,1,0,0,0,0,0,0,0
5155,0,0,1,0,0,0,1,0,0,0
5155,0,0,1,0,0,0,0,0,0,0
5155,0,0,1,0,0,0,1,0,0,0
5157,0,0,1,0,0,0,0,0,0,0
5157,0,0,1,0,0,0,1,0,0,0
5157,0,0,1,0,0,0,0,0,0,0
5157,0,0,1,0,0,0,1,0,0,0
5159,0,0,1,0,0,0,0,0,0,0
5159,0,0,1,0,0,0,1,0,0,0
5159,0,0,1,0,0,0,0,0,0,0
5161,0,0,1,0,0,0,1,0,0,0
5161,0,0,1,0,0,0,0,0,0,0
5161,0,0,1,0,0,0,1,0,0,0
5163,0,0,1,0,0,0,0,0,0,0
5163,0,0,1,0,0,0,1,0,0,0
5163,0,0,1,0,0,0,0,0,0,0
5165,0,0,1,0,0,0,1,0,0,0
5165,0,0,1,0,0,0,0,0,0,0
5165,0,0,1,0,0,0,1,0,0,0
5167,0,0,1,0,0,0,0,0,0,0
5167,0,0,1,0,0,0,1,0,0,0
5167,0,0,1,0,0,0,0,0,0,0
5169,0,0,1,0,0,0,1,0,0,0
5169,0,0,1,0,0,0,0,0,0,0
5169,0,0,1,0,0,0,1,0,0,0
5171,0,0,1,0,0,0,0,0,0,0
5171,0,0,1,0,0,0,1,0,0,0
5171,0,0,1,0,0,0,0,0,0,0
5173,0,0,1,0,0,0,1,0,0,0
5173,0,0,1,0,0,0,0,0,0,0
5173,0,0,1,0,0,0,1,0,0,0
5175,0,0,1,0,0,0,0,0,0,0
5175,0,0,1,0,0,0,1,0,0,0
5175,0,0,1,0,0,0,0,0,0,0
5177,0,0,1,0,0,0,1,0,0,0
5177,0,0,1,0,0,0,0,0,0,0
5177,0,0,1,0,0,0,1,0,0,0
5179,0,0,1,0,0,0,0,0,0,0
5179,0,0,1,0,0,0,1,0,0,0
5179,0,0,1,0,0,0,0,0,0,0
5181,0,0,1,0,0,0,1,0,0,0
5181,0,0,1,0,0,0,0,0,0,0
5181,0,0,1,0,0,0,1,0,0,0
5183,0,0,1,0,0,0,0,0,0,0
5183,0,0,1,0,0,0,1,0,0,0
5183,0,0,1,0,0,0,0,0,0,0
5183,0,0,1,0,0,0,1,0,0,0
5185,0,0,1,0,0,0,0,0,0,0
5185,0,0,1,0,0,0,1,0,0,0
5185,0,0,1,0,0,0,0,0,0,0
5187,0,0,1,0,0,0,1,0,0,0
5187,0,0,1,0,0,0,0,0,0,0
5187,0,0,1,0,0,0,1,0,0,0
5188,0,0,1,0,0,0,0,0,0,0
5188,0,0,1,0,0,0,1,0,0,0
5189,0,0,1,0,0,0,0,0,0,0
5189,0,0,1,0,0,0,1,0,0,0
5189,0,0,1,0,0,0,0,0,0,0
5191,0,0,1,0,0,0,1,0,0,0
5191,0,0,1,0,0,0,0,0,0,0
5191,0,0,1,0,0,0,1,0,0,0
5193,0,0,1,0,0,0,0,0,0,0
5193,0,0,1,0,0,0,1,0,0,0
5193,0,0,1,0,0,0,0,0,0,0
5195,0,0,1,0,0,0,1,0,0,0
5195,0,0,1,0,0,0,0,0,0,0
5195,0,0,1,0,0,0,1,0,0,0
5197,0,0,1,0,0,0,0,0,0,0
5197,0,0,1,0,0,0,1,0,0,0
5197,0,0,1,0,0,0,0,0,0,0
5199,0,0,1,0,0,0,1,0,0,0
5199,0,0,1,0,0,0,0,0,0,0
5199,0,0,1,0,0,0,1,0,0,0
5201,0,0,1,0,0,0,0,0,0,0
5201,0,0,1,0,0,0,1,0,0,0
5201,0,0,1,0,0,0,0,0,0,0
5203,0,0,1,0,0,0,1,0,0,0
5203,0,0,1,0,0,0,0,0,0,0
5203,0,0,1,0,0,0,1,0,0,0
5205,0,0,1,0,0,0,0,0,0,0
5205,0,0,1,0,0,0,1,0,0,0
5205,0,0,1,0,0,0,0,0,0,0
5207,0,0,1,0,0,0,1,0,0,0
5207,0,0,1,0,0,0,0,0,0,0
5207,0,0,1,0,0,0,1,0,0,0
5209,0,0,1,0,0,0,0,0,0,0
5209,0,0,1,0,0,0,1,0,0,0
5209,0,0,1,0,0,0,0,0,0,0
5209,0,0,1,0,0,0,1,0,0,0
5211,0,0,1,0,0,0,0,0,0,0
5211,0,0,1,0,0,0,1,0,0,0
5211,0,0,1,0,0,0,0,0,0,0
5213,0,0,1,0,0,0,1,0,0,0
5213,0,0,1,0,0,0,0,0,0,0
5213,0,0,1,0,0,0,1,0,0,0
5215,0,0,1,0,0,0,0,0,0,0
5215,0,0,1,0,0,0,1,0,0,0
5215,0,0,1,0,0,0,0,0,0,0
5217,0,0,1,0,0,0,1,0,0,0
5217,0,0,1,0,0,0,0,0,0,0
5217,0,0,1,0,0,0,1,0,0,0
5219,0,0,1,0,0,0,0,0,0,0
5219,0,0,1,0,0,0,1,0,0,0
5219,0,0,1,0,0,0,0,0,0,0
5221,0,0,1,0,0,0,1,0,0,0
5221,0,0,1,0,0,0,0,0,0,0
5221,0,0,1,0,0,0,1,0,0,0
5223,0,0,1,0,0,0,0,0,0,0
5223,0,0,1,0,0,0,1,0,0,0
5223,0,0,1,0,0,0,0,0,0,0
5225,0,0,1,0,0,0,1,0,0,0
5225,0,0,1,0,0,0,0,0,0,0
5225,0,0,1,0,0,0,1,0,0,0
5227,0,0,1,0,0,0,0,0,0,0
5227,0,0,1,0,0,0,1,0,0,0
5227,0,0,1,0,0,0,0,0,0,0
5229,0,0,1,0,0,0,1,0,0,0
5229,0,0,1,0,0,0,0,0,0,0
5229,0,0,1,0,0,0,1,0,0,0
5231,0,0,1,0,0,0,0,0,0,0
5231,0,0,1,0,0,0,1,0,0,0
5231,0,0,1,0,0,0,0,0,0,0
5233,0,0,1,0,0,0,1,0,0,0
5233,0,0,1,0,0,0,0,0,0,0
5233,0,0,1,0,0,0,1,0,0,0
5235,0,0,1,0,0,0,0,0,0,0
5235,0,0,1,0,0,0,1,0,0,0
5235,0,0,1,0,0,0,0,0,0,0
5235,0,0,1,0,0,0,1,0,0,0
5237,0,0,1,0,0,0,0,0,0,0
5237,0,0,1,0,0,0,1,0,0,0
5237,0,0,1,0,0,0,0,0,0,0
5238,0,0,1,0,0,0,1,0,0,0
5238,0,0,1,0,0,0,0,0,0,0
5239,0,0,1,0,0,0,1,0,0,0
5239,0,0,1,0,0,0,0,0,0,0
5239,0,0,1,0,0,0,1,0,0,0
5241,0,0,1,0,0,0,0,0,0,0
5241,0,0,1,0,0,0,1,0,0,0
5241,0,0,1,0,0,0,0,0,0,0
5243,0,0,1,0,0,0,1,0,0,0
5245,0,0,1,0,0,0,0,0,0,0
5247,0,0,1,0,0,0,1,0,0,0
5249,0,0,1,0,0,0,0,0,0,0
5251,0,0,1,0,0,0,1,0,0,0
5253,0,0,1,0,0,0,0,0,0,0
5243,0,0,1,0,0,0,1,0,0,0
5245,0,0,1,0,0,0,0,0,0,0
5247,0,0,1,0,0,0,1,0,0,0
5249,0,0,1,0,0,0,0,0,0,0
5251,0,0,1,0,0,0,1,0,0,0
5253,0,0,1,0,0,0,0,0,0,0
5243,0,0,1,0,0,0,1,0,0,0
5245,0,0,1,0,0,0,0,0,0,0
5247,0,0,1,0,0,0,1,0,0,0
5249,0,0,1,0,0,0,0,0,0,0
5251,0,0,1,0,0,0,1,0,0,0
5253,0,0,1,0,0,0,0,0,0,0
5251,0,0,1,0,0,0,1,0,0,0
5251,0,0,1,0,0,0,0,0,0,0
5255,0,0,1,0,0,0,1,0,0,0
5255,0,0,1,0,0,0,0,0,0,0
5255,0,0,1,0,0,0,1,0,0,0
5255,0,0,1,0,0,0,0,0,0,0
5256,0,0,1,0,0,0,1,0,0,0
5257,0,0,1,0,0,0,0,0,0,0
5257,0,0,1,0,0,0,1,0,0,0
5257,0,0,1,0,0,0,0,0,0,0
5259,0,0,1,0,0,0,1,0,0,0
5259,0,0,1,0,0,0,0,0,0,0
5259,0,0,1,0,0,0,1,0,0,0
5261,0,0,1,0,0,0,0,0,0,0
5261,0,0,1,0,0,0,1,0,0,0
5261,0,0,1,0,0,0,0,0,0,0
5261,0,0,1,0,0,0,1,0,0,0
5263,0,0,1,0,0,0,0,0,0,0
5263,0,0,1,0,0,0,1,0,0,0
5263,0,0,1,0,0,0,0,0,0,0
5265,0,0,1,0,0,0,1,0,0,0
5265,0,0,1,0,0,0,0,0,0,0
5265,0,0,1,0,0,0,1,0,0,0
5267,0,0,1,0,0,0,0,0,0,0
5267,0,0,1,0,0,0,1,0,0,0
5267,0,0,1,0,0,0,0,0,0,0
5269,0,0,1,0,0,0,1,0,0,0
5269,0,0,1,0,0,0,0,0,0,0
5269,0,0,1,0,0,0,1,0,0,0
5271,0,0,1,0,0,0,0,0,0,0
5271,0,0,1,0,0,0,1,0,0,0
5271,0,0,1,0,0,0,0,0,0,0
5273,0,0,1,0,0,0,1,0,0,0
5273,0,0,1,0,0,0,0,0,0,0
5273,0,0,1,0,0,0,1,0,0,0
5275,0,0,1,0,0,0,0,0,0,0
5275,0,0,1,0,0,0,1,0,0,0
5275,0,0,1,0,0,0,0,0,0,0
5277,0,0,1,0,0,0,1,0,0,0
5277,0,0,1,0,0,0,0,0,0,0
5277,0,0,1,0,0,0,1,0,0,0
5279,0,0,1,0,0,0,0,0,0,0
5279,0,0,1,0,0,0,1,0,0,0
5279,0,0,1,0,0,0,0,0,0,0
5281,0,0,1,0,0,0,1,0,0,0
5281,0,0,1,0,0,0,0,0,0,0
5281,0,0,1,0,0,0,1,0,0,0
5283,0,0,1,0,0,0,0,0,0,0
5283,0,0,1,0,0,0,1,0,0,0
5283,0,0,1,0,0,0,0,0,0,0
5285,0,0,1,0,0,0,1,0,0,0
5285,0,0,1,0,0,0,0,0,0,0
5285,0,0,1,0,0,0,1,0,0,0
5287,0,0,1,0,0,0,0,0,0,0
5287,0,0,1,0,0,0,1,0,0,0
5287,0,0,1,0,0,0,0,0,0,0
5287,0,0,1,0,0,0,1,0,0,0
5288,0,0,1,0,0,0,0,0,0,0
5288,0,0,1,0,0,0,1,0,0,0
5289,0,0,1,0,0,0,0,0,0,0
5289,0,0,1,0,0,0,1,0,0,0
5289,0,0,1,0,0,0,0,0,0,0
5291,0,0,1,0,0,0,1,0,0,0
5291,0,0,1,0,0,0,0,0,0,0
5291,0,0,1,0,0,0,1,0,0,0
5293,0,0,1,0,0,0,0,0,0,0
5293,0,0,1,0,0,0,1,0,0,0
5293,0,0,1,0,0,0,0,0,0,0
5295,0,0,1,0,0,0,1,0,0,0
5295,0,0,1,0,0,0,0,0,0,0
5295,0,0,1,0,0,0,1,0,0,0
5297,0,0,1,0,0,0,0,0,0,0
5297,0,0,1,0,0,0,1,0,0,0
5297,0,0,1,0,0,0,0,0,0,0
5299,0,0,1,0,0,0,1,0,0,0
5299,0,0,1,0,0,0,0,0,0,0
5299,0,0,1,0,0,0,1,0,0,0
5301,0,0,1,0,0,0,0,0,0,0
5301,0,0,1,0,0,0,1,0,0,0
5301,0,0,1,0,0,0,0,0,0,0
5303,0,0,1,0,0,0,1,0,0,0
5303,0,0,1,0,0,0,0,0,0,0
5303,0,0,1,0,0,0,1,0,0,0
5305,0,0,1,0,0,0,0,0,0,0
5305,0,0,1,0,0,0,1,0,0,0
5305,0,0,1,0,0,0,0,0,0,0
5307,0,0,1,0,0,0,1,0,0,0
5307,0,0,1,0,0,0,0,0,0,0
5307,0,0,1,0,0,0,1,0,0,0
5309,0,0,1,0,0,0,0,0,0,0
5309,0,0,1,0,0,0,1,0,0,0
5309,0,0,1,0,0,0,0,0,0,0
5311,0,0,1,0,0,0,1,0,0,0
5311,0,0,1,0,0,0,0,0,0,0
5311,0,0,1,0,0,0,1,0,0,0
5313,0,0,1,0,0,0,0,0,0,0
5313,0,0,1,0,0,0,1,0,0,0
5313,0,0,1,0,0,0,0,0,0,0
5313,0,0,1,0,0,0,1,0,0,0
5315,0,0,1,0,0,0,0,0,0,0
5315,0,0,1,0,0,0,1,0,0,0
5315,0,0,1,0,0,0,0,0,0,0
5317,0,0,1,0,0,0,1,0,0,0
5317,0,0,1,0,0,0,0,0,0,0
5317,0,0,1,0,0,0,1,0,0,0
5319,0,0,1,0,0,0,0,0,0,0
5319,0,0,1,0,0,0,1,0,0,0
5319,0,0,1,0,0,0,0,0,0,0
5321,0,0,1,0,0,0,1,0,0,0
5321,0,0,1,0,0,0,0,0,0,0
5321,0,0,1,0,0,0,1,0,0,0
5323,0,0,1,0,0,0,0,0,0,0
5323,0,0,1,0,0,0,1,0,0,0
5323,0,0,1,0,0,0,0,0,0,0
5325,0,0,1,0,0,0,1,0,0,0
5325,0,0,1,0,0,0,0,0,0,0
5325,0,0,1,0,0,0,1,0,0,0
5327,0,0,1,0,0,0,0,0,0,0
5327,0,0,1,0,0,0,1,0,0,0
5327,0,0,1,0,0,0,0,0,0,0
5329,0,0,1,0,0,0,1,0,0,0
5329,0,0,1,0,0,0,0,0,0,0
5329,0,0,1,0,0,0,1,0,0,0
5331,0,0,1,0,0,0,0,0,0,0
5331,0,0,1,0,0,0,1,0,0,0
5331,0,0,1,0,0,0,0,0,0,0
5333,0,0,1,0,0,0,1,0,0,0
5333,0,0,1,0,0,0,0,0,0,0
5333,0,0,1,0,0,0,1,0,0,0
5335,0,0,1,0,0,0,0,0,0,0
5335,0,0,1,0,0,0,1,0,0,0
5335,0,0,1,0,0,0,0,0,0,0
5337,0,0,1,0,0,0,1,0,0,0
5337,0,0,1,0,0,0,0,0,0,0
5337,0,0,1,0,0,0,1,0,0,0
5338,0,0,1,0,0,0,0,0,0,0
5338,0,0,1,0,0,0,1,0,0,0
5339,0,0,1,0,0,0,0,0,0,0
5339,0,0,1,0,0,0,1,0,0,0
5339,0,0,1,0,0,0,0,0,0,0
5339,0,0,1,0,0,0,1,0,0,0
5341,0,0,1,0,0,0,0,0,0,0
5341,0,0,1,0,0,0,1,0,0,0
5341,0,0,1,0,0,0,0,0,0,0
5340,0,0,1,0,0,0,1,0,0,0
5343,0,0,1,0,0,0,0,0,0,0
5343,0,0,1,0,0,0,1,0,0,0
5343,0,0,1,0,0,0,0,0,0,0
5345,0,0,1,0,0,0,1,0,0,0
5345,0,0,1,0,0,0,0,0,0,0
5345,0,0,1,0,0,0,1,0,0,0
5347,0,0,1,0,0,0,0,0,0,0
5347,0,0,1,0,0,0,1,0,0,0
5349,0,0,1,0,0,0,0,0,0,0
5347,0,0,1,0,0,0,1,0,0,0
5349,0,0,1,0,0,0,0,0,0,0
5349,0,0,1,0,0,0,1,0,0,0
5351,0,0,1,0,0,0,0,0,0,0
5351,0,0,1,0,0,0,1,0,0,0
5351,0,0,1,0,0,0,0,0,0,0
5353,0,0,1,0,0,0,1,0,0,0
5353,0,0,1,0,0,0,0,0,0,0
5353,0,0,1,0,0,0,1,0,0,0
5355,0,0,1,0,0,0,0,0,0,0
5355,0,0,1,0,0,0,1,0,0,0
5355,0,0,1,0,0,0,0,0,0,0
5357,0,0,1,0,0,0,1,0,0,0
5357,0,0,1,0,0,0,0,0,0,0
5357,0,0,1,0,0,0,1,0,0,0
5359,0,0,1,0,0,0,0,0,0,0
5359,0,0,1,0,0,0,1,0,0,0
5359,0,0,1,0,0,0,0,0,0,0
5360,0,0,1,0,0,0,1,0,0,0
5361,0,0,1,0,0,0,0,0,0,0
5361,0,0,1,0,0,0,1,0,0,0
5361,0,0,1,0,0,0,0,0,0,0
5360,0,0,1,0,0,0,1,0,0,0
5363,0,0,1,0,0,0,0,0,0,0
5363,0,0,1,0,0,0,1,0,0,0
5363,0,0,1,0,0,0,0,0,0,0
5365,0,0,1,0,0,0,1,0,0,0
5365,0,0,1,0,0,0,0,0,0,0
5365,0,0,1,0,0,0,1,0,0,0
5365,0,0,1,0,0,0,0,0,0,0
5364,0,0,1,0,0,0,1,0,0,0
5365,0,0,1,0,0,0,0,0,0,0
5367,0,0,1,0,0,0,1,0,0,0
5367,0,0,1,0,0,0,0,0,0,0
5367,0,0,1,0,0,0,1,0,0,0
5369,0,0,1,0,0,0,0,0,0,0
5369,0,0,1,0,0,0,1,0,0,0
5369,0,0,1,0,0,0,0,0,0,0
5371,0,0,1,0,0,0,1,0,0,0
5371,0,0,1,0,0,0,0,0,0,0
5371,0,0,1,0,0,0,1,0,0,0
5373,0,0,1,0,0,0,0,0,0,0
5373,0,0,1,0,0,0,1,0,0,0
5373,0,0,1,0,0,0,0,0,0,0
5375,0,0,1,0,0,0,1,0,0,0
5375,0,0,1,0,0,0,0,0,0,0
5375,0,0,1,0,0,0,1,0,0,0
5377,0,0,1,0,0,0,0,0,0,0
5377,0,0,1,0,0,0,1,0,0,0
5377,0,0,1,0,0,0,0,0,0,0
5379,0,0,1,0,0,0,1,0,0,0
5379,0,0,1,0,0,0,0,0,0,0
5379,0,0,1,0,0,0,1,0,0,0
5381,0,0,1,0,0,0,0,0,0,0
5381,0,0,1,0,0,0,1,0,0,0
5381,0,0,1,0,0,0,0,0,0,0
5383,0,0,1,0,0,0,1,0,0,0
5383,0,0,1,0,0,0,0,0,0,0
5383,0,0,1,0,0,0,1,0,0,0
5385,0,0,1,0,0,0,0,0,0,0
5385,0,0,1,0,0,0,1,0,0,0
5385,0,0,1,0,0,0,0,0,0,0
5387,0,0,1,0,0,0,1,0,0,0
5387,0,0,1,0,0,0,0,0,0,0
5387,0,0,1,0,0,0,1,0,0,0
5388,0,0,1,0,0,0,0,0,0,0
5388,0,0,1,0,0,0,1,0,0,0
5389,0,0,1,0,0,0,0,0,0,0
5389,0,0,1,0,0,0,1,0,0,0
5389,0,0,1,0,0,0,0,0,0,0
5391,0,0,1,0,0,0,1,0,0,0
5391,0,0,1,0,0,0,0,0,0,0
5391,0,0,1,0,0,0,1,0,0,0
5391,0,0,1,0,0,0,0,0,0,0
5393,0,0,1,0,0,0,1,0,0,0
5393,0,0,1,0,0,0,0,0,0,0
5393,0,0,1,0,0,0,1,0,0,0
5395,0,0,1,0,0,0,0,0,0,0
5395,0,0,1,0,0,0,1,0,0,0
5395,0,0,1,0,0,0,0,0,0,0
5397,0,0,1,0,0,0,1,0,0,0
5397,0,0,1,0,0,0,0,0,0,0
5397,0,0,1,0,0,0,1,0,0,0
5399,0,0,1,0,0,0,0,0,0,0
5399,0,0,1,0,0,0,1,0,0,0
5399,0,0,1,0,0,0,0,0,0,0
5401,0,0,1,0,0,0,1,0,0,0
5401,0,0,1,0,0,0,0,0,0,0
5401,0,0,1,0,0,0,1,0,0,0
5403,0,0,1,0,0,0,0,0,0,0
5403,0,0,1,0,0,0,1,0,0,0
5403,0,0,1,0,0,0,0,0,0,0
5405,0,0,1,0,0,0,1,0,0,0
5405,0,0,1,0,0,0,0,0,0,0
5405,0,0,1,0,0,0,1,0,0,0
5407,0,0,1,0,0,0,0,0,0,0
5407,0,0,1,0,0,0,1,0,0,0
5407,0,0,1,0,0,0,0,0,0,0
5409,0,0,1,0,0,0,1,0,0,0
5409,0,0,1,0,0,0,0,0,0,0
5409,0,0,1,0,0,0,1,0,0,0
5411,0,0,1,0,0,0,0,0,0,0
5411,0,0,1,0,0,0,1,0,0,0
5411,0,0,1,0,0,0,0,0,0,0
5413,0,0,1,0,0,0,1,0,0,0
5413,0,0,1,0,0,0,0,0,0,0
5413,0,0,1,0,0,0,1,0,0,0
5415,0,0,1,0,0,0,0,0,0,0
5415,0,0,1,0,0,0,1,0,0,0
5415,0,0,1,0,0,0,0,0,0,0
5417,0,0,1,0,0,0,1,0,0,0
5417,0,0,1,0,0,0,0,0,0,0
5417,0,0,1,0,0,0,1,0,0,0
5417,0,0,1,0,0,0,0,0,0,0
5419,0,0,1,0,0,0,1,0,0,0
5419,0,0,1,0,0,0,0,0,0,0
5419,0,0,1,0,0,0,1,0,0,0
5421,0,0,1,0,0,0,0,0,0,0
5421,0,0,1,0,0,0,1,0,0,0
5421,0,0,1,0,0,0,0,0,0,0
5423,0,0,1,0,0,0,1,0,0,0
5423,0,0,1,0,0,0,0,0,0,0
5423,0,0,1,0,0,0,1,0,0,0
5425,0,0,1,0,0,0,0,0,0,0
5425,0,0,1,0,0,0,1,0,0,0
5425,0,0,1,0,0,0,0,0,0,0
5427,0,0,1,0,0,0,1,0,0,0
5427,0,0,1,0,0,0,0,0,0,0
5427,0,0,1,0,0,0,1,0,0,0
5429,0,0,1,0,0,0,0,0,0,0
5429,0,0,1,0,0,0,1,0,0,0
5429,0,0,1,0,0,0,0,0,0,0
5431,0,0,1,0,0,0,1,0,0,0
5431,0,0,1,0,0,0,0,0,0,0
5431,0,0,1,0,0,0,1,0,0,0
5433,0,0,1,0,0,0,0,0,0,0
5433,0,0,1,0,0,0,1,0,0,0
5433,0,0,1,0,0,0,0,0,0,0
5435,0,0,1,0,0,0,1,0,0,0
5435,0,0,1,0,0,0,0,0,0,0
5435,0,0,1,0,0,0,1,0,0,0
5437,0,0,1,0,0,0,0,0,0,0
5437,0,0,1,0,0,0,1,0,0,0
5437,0,0,1,0,0,0,0,0,0,0
5438,0,0,1,0,0,0,1,0,0,0
5438,0,0,1,0,0,0,0,0,0,0
5439,0,0,1,0,0,0,1,0,0,0
5439,0,0,1,0,0,0,0,0,0,0
5439,0,0,1,0,0,0,1,0,0,0
5441,0,0,1,0,0,0,0,0,0,0
5441,0,0,1,0,0,0,1,0,0,0
5441,0,0,1,0,0,0,0,0,0,0
5443,0,0,1,0,0,0,1,0,0,0
5443,0,0,1,0,0,0,0,0,0,0
5443,0,0,1,0,0,0,1,0,0,0
5443,0,0,1,0,0,0,0,0,0,0
5445,0,0,1,0,0,0,1,0,0,0
5445,0,0,1,0,0,0,0,0,0,0
5445,0,0,1,0,0,0,1,0,0,0
5447,0,0,1,0,0,0,0,0,0,0
5447,0,0,1,0,0,0,1,0,0,0
5447,0,0,1,0,0,0,0,0,0,0
5449,0,0,1,0,0,0,1,0,0,0
5449,0,0,1,0,0,0,0,0,0,0
5449,0,0,1,0,0,0,1,0,0,0
5451,0,0,1,0,0,0,0,0,0,0
5451,0,0,1,0,0,0,1,0,0,0
5451,0,0,1,0,0,0,0,0,0,0
5453,0,0,1,0,0,0,1,0,0,0
5453,0,0,1,0,0,0,0,0,0,0
5453,0,0,1,0,0,0,1,0,0,0
5455,0,0,1,0,0,0,0,0,0,0
5457,0,0,1,0,0,0,1,0,0,0
5455,0,0,1,0,0,0,0,0,0,0
5457,0,0,1,0,0,0,1,0,0,0
5455,0,0,1,0,0,0,0,0,0,0
5457,0,0,1,0,0,0,1,0,0,0
5459,0,0,1,0,0,0,0,0,0,0
5459,0,0,1,0,0,0,1,0,0,0
5459,0,0,1,0,0,0,0,0,0,0
5461,0,0,1,0,0,0,1,0,0,0
5461,0,0,1,0,0,0,0,0,0,0
5461,0,0,1,0,0,0,1,0,0,0
5463,0,0,1,0,0,0,0,0,0,0
5463,0,0,1,0,0,0,1,0,0,0
5463,0,0,1,0,0,0,0,0,0,0
5465,0,0,1,0,0,0,1,0,0,0
5465,0,0,1,0,0,0,0,0,0,0
5465,0,0,1,0,0,0,1,0,0,0
5467,0,0,1,0,0,0,0,0,0,0
5467,0,0,1,0,0,0,1,0,0,0
5467,0,0,1,0,0,0,0,0,0,0
5469,0,0,1,0,0,0,1,0,0,0
5469,0,0,1,0,0,0,0,0,0,0
5469,0,0,1,0,0,0,1,0,0,0
5469,0,0,1,0,0,0,0,0,0,0
5469,0,0,1,0,0,0,1,0,0,0
5469,0,0,1,0,0,0,0,0,0,0
5471,0,0,1,0,0,0,1,0,0,0
5471,0,0,1,0,0,0,0,0,0,0
5471,0,0,1,0,0,0,1,0,0,0
5473,0,0,1,0,0,0,0,0,0,0
5473,0,0,1,0,0,0,1,0,0,0
5473,0,0,1,0,0,0,0,0,0,0
5473,0,0,1,0,0,0,1,0,0,0
5474,0,0,1,0,0,0,0,0,0,0
5475,0,0,1,0,0,0,1,0,0,0
5475,0,0,1,0,0,0,0,0,0,0
5475,0,0,1,0,0,0,1,0,0,0
5477,0,0,1,0,0,0,0,0,0,0
5477,0,0,1,0,0,0,1,0,0,0
5477,0,0,1,0,0,0,0,0,0,0
5479,0,0,1,0,0,0,1,0,0,0
5479,0,0,1,0,0,0,0,0,0,0
5479,0,0,1,0,0,0,1,0,0,0
5481,0,0,1,0,0,0,0,0,0,0
5481,0,0,1,0,0,0,1,0,0,0
5481,0,0,1,0,0,0,0,0,0,0
5483,0,0,1,0,0,0,1,0,0,0
5483,0,0,1,0,0,0,0,0,0,0
5483,0,0,1,0,0,0,1,0,0,0
5485,0,0,1,0,0,0,0,0,0,0
5485,0,0,1,0,0,0,1,0,0,0
5485,0,0,1,0,0,0,0,0,0,0
5487,0,0,1,0,0,0,1,0,0,0
5487,0,0,1,0,0,0,0,0,0,0
5487,0,0,1,0,0,0,1,0,0,0
5488,0,0,1,0,0,0,0,0,0,0
5488,0,0,1,0,0,0,1,0,0,0
5489,0,0,1,0,0,0,0,0,0,0
5489,0,0,1,0,0,0,1,0,0,0
5489,0,0,1,0,0,0,0,0,0,0
5491,0,0,1,0,0,0,1,0,0,0
5491,0,0,1,0,0,0,0,0,0,0
5491,0,0,1,0,0,0,1,0,0,0
5493,0,0,1,0,0,0,0,0,0,0
5493,0,0,1,0,0,0,1,0,0,0
5493,0,0,1,0,0,0,0,0,0,0
5495,0,0,1,0,0,0,1,0,0,0
5495,0,0,1,0,0,0,0,0,0,0
5495,0,0,1,0,0,0,1,0,0,0
5495,0,0,1,0,0,0,0,0,0,0
5497,0,0,1,0,0,0,1,0,0,0
5497,0,0,1,0,0,0,0,0,0,0
5497,0,0,1,0,0,0,1,0,0,0
5499,0,0,1,0,0,0,0,0,0,0
5499,0,0,1,0,0,0,1,0,0,0
5499,0,0,1,0,0,0,0,0,0,0
5501,0,0,1,0,0,0,1,0,0,0
5501,0,0,1,0,0,0,0,0,0,0
5501,0,0,1,0,0,0,1,0,0,0
5503,0,0,1,0,0,0,0,0,0,0
5503,0,0,1,0,0,0,1,0,0,0
5503,0,0,1,0,0,0,0,0,0,0
