Mach	Alpha	CA Power-On	CN	CP
0.01	0	1.21363468	0	130.8434828
0.02	0	1.059250667	0	130.8434828
0.03	0	0.98198134	0	130.8434828
0.04	0	0.932102339	0	130.8434828
0.05	0	0.895957353	0	130.8434828
0.06	0	0.867951263	0	130.8434828
0.07	0	0.84527952	0	130.8434828
0.08	0	0.826349122	0	130.8434828
0.09	0	0.810174226	0	130.8434828
0.1	0	0.796105211	0	130.8434828
0.11	0	0.783692696	0	130.8434828
0.12	0	0.772614241	0	130.8434828
0.13	0	0.762630651	0	130.8434828
0.14	0	0.753560431	0	130.8434828
0.15	0	0.745262372	0	130.8434828
0.16	0	0.737625023	0	130.8434828
0.17	0	0.73055866	0	130.8434828
0.18	0	0.723990282	0	130.8434828
0.19	0	0.71785964	0	130.8434828
0.2	0	0.712116363	0	130.8434828
0.21	0	0.706718296	0	130.8434828
0.22	0	0.701629416	0	130.8434828
0.23	0	0.696819031	0	130.8434828
0.24	0	0.69226057	0	130.8434828
0.25	0	0.687931087	0	130.8434828
0.26	0	0.684291729	0	130.8434828
0.27	0	0.68083682	0	130.8434828
0.28	0	0.677551341	0	130.8434828
0.29	0	0.674421876	0	130.8434828
0.3	0	0.671436546	0	130.8434828
0.31	0	0.668584695	0	130.8434828
0.32	0	0.665856819	0	130.8434828
0.33	0	0.663244309	0	130.8434828
0.34	0	0.660739414	0	130.8434828
0.35	0	0.65833509	0	130.8434828
0.36	0	0.656024994	0	130.8434828
0.37	0	0.653803302	0	130.8434828
0.38	0	0.651664687	0	130.8434828
0.39	0	0.649604303	0	130.8434828
0.4	0	0.647617643	0	130.8434828
0.41	0	0.645700676	0	130.8434828
0.42	0	0.643849546	0	130.8434828
0.43	0	0.642060799	0	130.8434828
0.44	0	0.640331201	0	130.8434828
0.45	0	0.63865774	0	130.8434828
0.46	0	0.637037674	0	130.8434828
0.47	0	0.635468329	0	130.8434828
0.48	0	0.633947375	0	130.8434828
0.49	0	0.632472504	0	130.8434828
0.5	0	0.631041685	0	130.8434828
0.51	0	0.629652905	0	130.8434828
0.52	0	0.628304284	0	130.8434828
0.53	0	0.626994116	0	130.8434828
0.54	0	0.625720828	0	130.8434828
0.55	0	0.624482821	0	130.8434828
0.56	0	0.62327875	0	130.8434828
0.57	0	0.62210716	0	130.8434828
0.58	0	0.620966804	0	130.8434828
0.59	0	0.619354403	0	130.8434828
0.6	0	0.617770878	0	130.8434828
0.61	0	0.616961561	0	130.8434828
0.62	0	0.616148054	0	130.8434828
0.63	0	0.615356403	0	130.8434828
0.64	0	0.614585797	0	130.8434828
0.65	0	0.613835481	0	130.8434828
0.66	0	0.613104659	0	130.8434828
0.67	0	0.61239275	0	130.8434828
0.68	0	0.611699077	0	130.8434828
0.69	0	0.611022925	0	130.8434828
0.7	0	0.6103638	0	130.8434828
0.71	0	0.609721091	0	130.8434828
0.72	0	0.609094272	0	130.8434828
0.73	0	0.60848281	0	130.8434828
0.74	0	0.607886229	0	130.8434828
0.75	0	0.607304086	0	130.8434828
0.76	0	0.606735837	0	130.8434828
0.77	0	0.606181158	0	130.8434828
0.78	0	0.605639576	0	130.8434828
